strokeID, isCompGenerated, lineID, time, timeStamp, x, y, groupID
0, false, 0.96848714, 34737, 1443650258713, 901, 146, 0
0, false, 0.96848714, 34803, 1443650258713, 901, 151, 0
0, false, 0.96848714, 34806, 1443650258713, 897, 182, 0
0, false, 0.96848714, 34827, 1443650258713, 897, 185, 0
0, false, 0.96848714, 34831, 1443650258713, 897, 190, 0
0, false, 0.96848714, 34843, 1443650258713, 896, 195, 0
0, false, 0.96848714, 34844, 1443650258713, 897, 200, 0
0, false, 0.96848714, 34857, 1443650258713, 896, 208, 0
0, false, 0.96848714, 34864, 1443650258713, 896, 213, 0
0, false, 0.96848714, 34873, 1443650258713, 895, 217, 0
0, false, 0.96848714, 34884, 1443650258713, 894, 222, 0
0, false, 0.96848714, 34893, 1443650258713, 894, 230, 0
0, false, 0.96848714, 34919, 1443650258713, 894, 237, 0
0, false, 0.96848714, 34920, 1443650258713, 894, 240, 0
0, false, 0.96848714, 34923, 1443650258713, 894, 248, 0
0, false, 0.96848714, 34933, 1443650258713, 894, 252, 0
0, false, 0.96848714, 34943, 1443650258713, 893, 258, 0
0, false, 0.96848714, 34953, 1443650258713, 893, 266, 0
0, false, 0.96848714, 34962, 1443650258713, 892, 270, 0
0, false, 0.96848714, 34972, 1443650258713, 891, 276, 0
0, false, 0.96848714, 34983, 1443650258713, 890, 281, 0
0, false, 0.96848714, 34992, 1443650258713, 888, 288, 0
0, false, 0.96848714, 35003, 1443650258713, 888, 293, 0
0, false, 0.96848714, 35012, 1443650258713, 887, 299, 0
0, false, 0.96848714, 35023, 1443650258713, 885, 305, 0
0, false, 0.96848714, 35032, 1443650258713, 885, 310, 0
0, false, 0.96848714, 35042, 1443650258713, 884, 315, 0
0, false, 0.96848714, 35053, 1443650258713, 883, 321, 0
0, false, 0.96848714, 35063, 1443650258713, 883, 325, 0
0, false, 0.96848714, 35071, 1443650258713, 882, 332, 0
0, false, 0.96848714, 35082, 1443650258713, 882, 337, 0
0, false, 0.96848714, 35091, 1443650258713, 881, 345, 0
0, false, 0.96848714, 35116, 1443650258713, 880, 353, 0
0, false, 0.96848714, 35127, 1443650258713, 879, 362, 0
0, false, 0.96848714, 35137, 1443650258713, 878, 371, 0
0, false, 0.96848714, 35147, 1443650258713, 878, 377, 0
0, false, 0.96848714, 35156, 1443650258713, 878, 381, 0
0, false, 0.96848714, 35167, 1443650258713, 876, 386, 0
0, false, 0.96848714, 35178, 1443650258713, 876, 394, 0
0, false, 0.96848714, 35187, 1443650258713, 875, 401, 0
0, false, 0.96848714, 35199, 1443650258713, 875, 407, 0
0, false, 0.96848714, 35206, 1443650258713, 874, 413, 0
0, false, 0.96848714, 35217, 1443650258713, 874, 421, 0
0, false, 0.96848714, 35231, 1443650258713, 874, 428, 0
0, false, 0.96848714, 35236, 1443650258713, 874, 434, 0
0, false, 0.96848714, 35245, 1443650258713, 874, 438, 0
