strokeID, isCompGenerated, lineID, time, x, y, groupID
0, false, 0.871652, 7966, 749, 361, 0
0, false, 0.871652, 8027, 745, 357, 0
0, false, 0.871652, 8032, 707, 342, 0
0, false, 0.871652, 8035, 696, 342, 0
0, false, 0.871652, 8051, 687, 342, 0
0, false, 0.871652, 8056, 675, 345, 0
0, false, 0.871652, 8065, 665, 349, 0
0, false, 0.871652, 8075, 652, 356, 0
0, false, 0.871652, 8085, 644, 360, 0
0, false, 0.871652, 8095, 635, 366, 0
0, false, 0.871652, 8106, 627, 376, 0
0, false, 0.871652, 8115, 618, 385, 0
0, false, 0.871652, 8126, 612, 392, 0
0, false, 0.871652, 8134, 605, 402, 0
0, false, 0.871652, 8145, 602, 409, 0
0, false, 0.871652, 8154, 600, 416, 0
0, false, 0.871652, 8164, 598, 425, 0
0, false, 0.871652, 8174, 596, 434, 0
0, false, 0.871652, 8184, 596, 438, 0
0, false, 0.871652, 8194, 595, 444, 0
0, false, 0.871652, 8204, 595, 448, 0
0, false, 0.871652, 8213, 596, 454, 0
0, false, 0.871652, 8223, 598, 460, 0
0, false, 0.871652, 8235, 600, 465, 0
0, false, 0.871652, 8243, 605, 469, 0
0, false, 0.871652, 8253, 608, 471, 0
0, false, 0.871652, 8264, 612, 475, 0
0, false, 0.871652, 8276, 616, 480, 0
0, false, 0.871652, 8284, 625, 484, 0
0, false, 0.871652, 8294, 630, 487, 0
0, false, 0.871652, 8302, 634, 489, 0
0, false, 0.871652, 8312, 641, 494, 0
0, false, 0.871652, 8341, 649, 498, 0
0, false, 0.871652, 8343, 657, 500, 0
0, false, 0.871652, 8344, 658, 502, 0
0, false, 0.871652, 8353, 662, 503, 0
0, false, 0.871652, 8363, 668, 508, 0
0, false, 0.871652, 8372, 674, 511, 0
0, false, 0.871652, 8383, 680, 517, 0
0, false, 0.871652, 8391, 685, 521, 0
0, false, 0.871652, 8401, 688, 523, 0
0, false, 0.871652, 8411, 691, 527, 0
0, false, 0.871652, 8421, 694, 532, 0
